HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.before1,Input.before2,Input.before3,Input.before4,Answer.command,Answer.doNotRedirect,Approve,Reject
3HEM8MA6H9MGMP7ZBHGZ2AC9S1PQPZ,3DQQATL6OSO16P6GUHOJBQ3L5KG4I6,Identification of robot commands,Give a single command to a robot that would describe a task,"image, tag, picture, different, robot, language, command, research, robotics",$0.50,Wed Dec 20 11:58:42 PST 2017,20,BatchId:3057619;OriginalHitTemplateId:920937336;,1800,259200,Wed Dec 27 11:58:42 PST 2017,,,3018Q3ZVOJ0CX6ERPFS46PT4DH8ARJ,AHT8HA3JRWVGV,Submitted,Wed Dec 20 11:58:52 PST 2017,Wed Dec 20 12:00:31 PST 2017,Sat Dec 23 12:00:31 PST 2017,,,,99,100% (85/85),100% (1/1),100% (1/1),http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/greenCorrectArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/greenWrongArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/yellowCorrectArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/yellowWrongArrow.png,The robot reaches the blue by going though the yellow first.,,,
3HEM8MA6H9MGMP7ZBHGZ2AC9S1PQPZ,3DQQATL6OSO16P6GUHOJBQ3L5KG4I6,Identification of robot commands,Give a single command to a robot that would describe a task,"image, tag, picture, different, robot, language, command, research, robotics",$0.50,Wed Dec 20 11:58:42 PST 2017,20,BatchId:3057619;OriginalHitTemplateId:920937336;,1800,259200,Wed Dec 27 11:58:42 PST 2017,,,308Q0PEVB9NLZO137MKVW2HTK37I98,A149ROBL26JWPJ,Submitted,Wed Dec 20 11:59:03 PST 2017,Wed Dec 20 12:06:36 PST 2017,Sat Dec 23 12:06:36 PST 2017,,,,453,100% (59/59),100% (6/6),100% (6/6),http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/greenCorrectArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/greenWrongArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/yellowCorrectArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/yellowWrongArrow.png,"While avoiding the red room, follow the shortest path to the blue room.",,,
3HEM8MA6H9MGMP7ZBHGZ2AC9S1PQPZ,3DQQATL6OSO16P6GUHOJBQ3L5KG4I6,Identification of robot commands,Give a single command to a robot that would describe a task,"image, tag, picture, different, robot, language, command, research, robotics",$0.50,Wed Dec 20 11:58:42 PST 2017,20,BatchId:3057619;OriginalHitTemplateId:920937336;,1800,259200,Wed Dec 27 11:58:42 PST 2017,,,30LSNF239V5AZ4G4MD5GMF9FEXXI2G,A110KENBXU7SUJ,Submitted,Wed Dec 20 11:58:48 PST 2017,Wed Dec 20 12:00:59 PST 2017,Sat Dec 23 12:00:59 PST 2017,,,,131,100% (106/106),100% (8/8),100% (8/8),http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/greenCorrectArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/greenWrongArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/yellowCorrectArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/yellowWrongArrow.png,move through the yellow or green room to the blue room,,,
3HEM8MA6H9MGMP7ZBHGZ2AC9S1PQPZ,3DQQATL6OSO16P6GUHOJBQ3L5KG4I6,Identification of robot commands,Give a single command to a robot that would describe a task,"image, tag, picture, different, robot, language, command, research, robotics",$0.50,Wed Dec 20 11:58:42 PST 2017,20,BatchId:3057619;OriginalHitTemplateId:920937336;,1800,259200,Wed Dec 27 11:58:42 PST 2017,,,33C7UALJVM8ALDMVUNTB475WJVE81H,A1PZ1YZAQEXRSQ,Submitted,Wed Dec 20 11:58:48 PST 2017,Wed Dec 20 12:00:02 PST 2017,Sat Dec 23 12:00:02 PST 2017,,,,74,100% (2/2),100% (2/2),100% (2/2),http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/greenCorrectArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/greenWrongArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/yellowCorrectArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/yellowWrongArrow.png,"Go to the blue room, but do not pass through the red room.",,,
3HEM8MA6H9MGMP7ZBHGZ2AC9S1PQPZ,3DQQATL6OSO16P6GUHOJBQ3L5KG4I6,Identification of robot commands,Give a single command to a robot that would describe a task,"image, tag, picture, different, robot, language, command, research, robotics",$0.50,Wed Dec 20 11:58:42 PST 2017,20,BatchId:3057619;OriginalHitTemplateId:920937336;,1800,259200,Wed Dec 27 11:58:42 PST 2017,,,3483FV8BEFTU6KL3KCWRPCJA56262A,A365SN61J4UNGR,Submitted,Wed Dec 20 11:59:28 PST 2017,Wed Dec 20 12:11:38 PST 2017,Sat Dec 23 12:11:38 PST 2017,,,,730,100% (27/27),100% (4/4),100% (4/4),http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/greenCorrectArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/greenWrongArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/yellowCorrectArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/yellowWrongArrow.png,Head to the blue rectangular room without passing through a red square room.,,,
3HEM8MA6H9MGMP7ZBHGZ2AC9S1PQPZ,3DQQATL6OSO16P6GUHOJBQ3L5KG4I6,Identification of robot commands,Give a single command to a robot that would describe a task,"image, tag, picture, different, robot, language, command, research, robotics",$0.50,Wed Dec 20 11:58:42 PST 2017,20,BatchId:3057619;OriginalHitTemplateId:920937336;,1800,259200,Wed Dec 27 11:58:42 PST 2017,,,3C44YUNSI2ZPJ01OWXFHRV1VX2HDPW,ARVXIBUCA8WDZ,Submitted,Wed Dec 20 11:58:49 PST 2017,Wed Dec 20 12:02:04 PST 2017,Sat Dec 23 12:02:04 PST 2017,,,,195,100% (189/189),100% (9/9),100% (9/9),http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/greenCorrectArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/greenWrongArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/yellowCorrectArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/yellowWrongArrow.png,Go into the blue room without going through the red room.,,,
3HEM8MA6H9MGMP7ZBHGZ2AC9S1PQPZ,3DQQATL6OSO16P6GUHOJBQ3L5KG4I6,Identification of robot commands,Give a single command to a robot that would describe a task,"image, tag, picture, different, robot, language, command, research, robotics",$0.50,Wed Dec 20 11:58:42 PST 2017,20,BatchId:3057619;OriginalHitTemplateId:920937336;,1800,259200,Wed Dec 27 11:58:42 PST 2017,,,3C8HJ7UOP84M1Y97WZCM1JQ3GFGMZ8,A3JZS32RQUWGJM,Submitted,Wed Dec 20 11:58:50 PST 2017,Wed Dec 20 12:02:52 PST 2017,Sat Dec 23 12:02:52 PST 2017,,,,242,100% (45/45),100% (2/2),100% (2/2),http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/greenCorrectArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/greenWrongArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/yellowCorrectArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/yellowWrongArrow.png,"Move to blue room, but don't go through the red room",,,
3HEM8MA6H9MGMP7ZBHGZ2AC9S1PQPZ,3DQQATL6OSO16P6GUHOJBQ3L5KG4I6,Identification of robot commands,Give a single command to a robot that would describe a task,"image, tag, picture, different, robot, language, command, research, robotics",$0.50,Wed Dec 20 11:58:42 PST 2017,20,BatchId:3057619;OriginalHitTemplateId:920937336;,1800,259200,Wed Dec 27 11:58:42 PST 2017,,,3DPNQGW4LMP49Y0QOQFFIRG8PKY646,A2P065E9CYMYJL,Submitted,Wed Dec 20 11:58:56 PST 2017,Wed Dec 20 11:59:17 PST 2017,Sat Dec 23 11:59:17 PST 2017,,,,21,100% (201/201),100% (4/4),100% (4/4),http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/greenCorrectArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/greenWrongArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/yellowCorrectArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/yellowWrongArrow.png,Go to the end while avoiding the red square,,,
3HEM8MA6H9MGMP7ZBHGZ2AC9S1PQPZ,3DQQATL6OSO16P6GUHOJBQ3L5KG4I6,Identification of robot commands,Give a single command to a robot that would describe a task,"image, tag, picture, different, robot, language, command, research, robotics",$0.50,Wed Dec 20 11:58:42 PST 2017,20,BatchId:3057619;OriginalHitTemplateId:920937336;,1800,259200,Wed Dec 27 11:58:42 PST 2017,,,3E337GFOLAISSZZ2I83XTRZXAFYNGM,A3T61LJ1WNOL6Z,Submitted,Wed Dec 20 12:12:40 PST 2017,Wed Dec 20 12:13:58 PST 2017,Sat Dec 23 12:13:58 PST 2017,,,,78,0% (0/0),0% (0/0),0% (0/0),http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/greenCorrectArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/greenWrongArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/yellowCorrectArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/yellowWrongArrow.png,Cross a bridge. Avoid the red rectangle.,,,
3HEM8MA6H9MGMP7ZBHGZ2AC9S1PQPZ,3DQQATL6OSO16P6GUHOJBQ3L5KG4I6,Identification of robot commands,Give a single command to a robot that would describe a task,"image, tag, picture, different, robot, language, command, research, robotics",$0.50,Wed Dec 20 11:58:42 PST 2017,20,BatchId:3057619;OriginalHitTemplateId:920937336;,1800,259200,Wed Dec 27 11:58:42 PST 2017,,,3EFVCAY5L4JHGU2ZKCZH871IDCKJ82,AA9V4NE8SOA4I,Submitted,Wed Dec 20 12:43:32 PST 2017,Wed Dec 20 12:44:46 PST 2017,Sat Dec 23 12:44:46 PST 2017,,,,74,100% (45/45),0% (0/0),0% (0/0),http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/greenCorrectArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/greenWrongArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/yellowCorrectArrow.png,http://cs.brown.edu/~ngopalan/groundingImages/gltl_data_collection/avoidRedStatic/yellowWrongArrow.png,go green or yellow to blue.,true,,
